1177.014495, 4.639561, 938.949308, 233.425626: ns per cell total, react, vel_step, dens_step
1174.714652, 4.668781, 936.724854, 233.321017: ns per cell total, react, vel_step, dens_step
1175.445386, 4.698612, 937.441740, 233.305034: ns per cell total, react, vel_step, dens_step
1177.830030, 4.942791, 939.366446, 233.520793: ns per cell total, react, vel_step, dens_step
1178.974555, 4.788906, 939.024467, 235.161181: ns per cell total, react, vel_step, dens_step
1182.024378, 4.784863, 945.212510, 232.027005: ns per cell total, react, vel_step, dens_step
1178.441412, 4.812538, 941.628905, 231.999969: ns per cell total, react, vel_step, dens_step
1185.458485, 4.839689, 947.975783, 232.643012: ns per cell total, react, vel_step, dens_step
1184.364276, 4.867594, 944.554866, 234.941816: ns per cell total, react, vel_step, dens_step
1184.986625, 4.904167, 947.877278, 232.205179: ns per cell total, react, vel_step, dens_step
1186.638591, 4.925883, 949.358544, 232.354163: ns per cell total, react, vel_step, dens_step
1187.063719, 4.986860, 949.339767, 232.737092: ns per cell total, react, vel_step, dens_step
1190.473736, 5.078061, 950.991015, 234.404659: ns per cell total, react, vel_step, dens_step
1192.799663, 5.079291, 954.329021, 233.391351: ns per cell total, react, vel_step, dens_step
1192.985964, 5.051873, 954.943368, 232.990723: ns per cell total, react, vel_step, dens_step
1196.984759, 5.138962, 958.533010, 233.312788: ns per cell total, react, vel_step, dens_step
1194.785729, 5.173294, 954.852179, 234.760256: ns per cell total, react, vel_step, dens_step
1194.360170, 5.126459, 956.867265, 232.366447: ns per cell total, react, vel_step, dens_step
1194.900208, 5.160362, 956.757181, 232.982664: ns per cell total, react, vel_step, dens_step
1199.204046, 5.188715, 961.476489, 232.538842: ns per cell total, react, vel_step, dens_step
1198.898155, 5.288984, 958.588982, 235.020189: ns per cell total, react, vel_step, dens_step
1201.982196, 5.297234, 963.555061, 233.129901: ns per cell total, react, vel_step, dens_step
1201.191123, 5.275348, 962.757560, 233.158216: ns per cell total, react, vel_step, dens_step
1204.308076, 5.357039, 965.766527, 233.184509: ns per cell total, react, vel_step, dens_step
1208.015295, 5.344116, 967.569965, 235.101213: ns per cell total, react, vel_step, dens_step
1206.289783, 5.361236, 965.794575, 235.133972: ns per cell total, react, vel_step, dens_step
1204.131942, 5.531352, 965.858920, 232.741670: ns per cell total, react, vel_step, dens_step
1208.476006, 5.414927, 969.371610, 233.689469: ns per cell total, react, vel_step, dens_step
1210.052755, 5.448163, 970.763631, 233.840961: ns per cell total, react, vel_step, dens_step
1212.448395, 5.540268, 973.224302, 233.683825: ns per cell total, react, vel_step, dens_step
1210.047214, 5.499498, 970.331712, 234.216003: ns per cell total, react, vel_step, dens_step
1211.543863, 5.606177, 972.639309, 233.298377: ns per cell total, react, vel_step, dens_step
1214.265899, 5.687097, 975.791041, 232.787761: ns per cell total, react, vel_step, dens_step
1210.587233, 5.665601, 972.077690, 232.843942: ns per cell total, react, vel_step, dens_step
1210.871942, 5.674927, 972.131783, 233.065232: ns per cell total, react, vel_step, dens_step
1210.025622, 5.638927, 970.606780, 233.779916: ns per cell total, react, vel_step, dens_step
1213.764075, 5.745805, 973.747851, 234.270419: ns per cell total, react, vel_step, dens_step
1210.327967, 5.768140, 971.113324, 233.446503: ns per cell total, react, vel_step, dens_step
1207.360140, 5.785858, 968.944135, 232.630147: ns per cell total, react, vel_step, dens_step
1207.847334, 5.853922, 969.063621, 232.929791: ns per cell total, react, vel_step, dens_step
1209.911525, 5.776723, 969.725689, 234.409113: ns per cell total, react, vel_step, dens_step
1209.555623, 5.871366, 970.147653, 233.536605: ns per cell total, react, vel_step, dens_step
1206.964804, 5.822099, 968.260721, 232.881984: ns per cell total, react, vel_step, dens_step
1209.409492, 5.881551, 970.652518, 232.875423: ns per cell total, react, vel_step, dens_step
1206.881204, 5.862429, 968.251156, 232.767619: ns per cell total, react, vel_step, dens_step
1203.285183, 5.872939, 964.757969, 232.654275: ns per cell total, react, vel_step, dens_step
1202.351288, 6.007884, 963.355486, 232.987918: ns per cell total, react, vel_step, dens_step
1203.488735, 5.904544, 964.637949, 232.946242: ns per cell total, react, vel_step, dens_step
1200.931991, 5.977853, 962.530995, 232.423142: ns per cell total, react, vel_step, dens_step
1199.297010, 6.031163, 960.706158, 232.559690: ns per cell total, react, vel_step, dens_step
1195.700856, 5.984338, 957.043828, 232.672690: ns per cell total, react, vel_step, dens_step
1198.217546, 6.027797, 958.535785, 233.653964: ns per cell total, react, vel_step, dens_step
1197.718565, 6.072333, 957.966632, 233.679600: ns per cell total, react, vel_step, dens_step
1195.002851, 6.055425, 956.681498, 232.265929: ns per cell total, react, vel_step, dens_step
1193.806019, 5.999253, 954.600312, 233.206453: ns per cell total, react, vel_step, dens_step
1193.532876, 6.071351, 953.802497, 233.659028: ns per cell total, react, vel_step, dens_step
1195.473672, 6.111529, 956.907863, 232.454280: ns per cell total, react, vel_step, dens_step
1193.114718, 6.052315, 952.019422, 235.042982: ns per cell total, react, vel_step, dens_step
1187.471777, 6.117776, 949.059691, 232.294310: ns per cell total, react, vel_step, dens_step
1191.006078, 6.083339, 950.218035, 234.704704: ns per cell total, react, vel_step, dens_step
1195.011024, 6.334994, 956.290768, 232.385262: ns per cell total, react, vel_step, dens_step
1189.668301, 6.027368, 950.962462, 232.678471: ns per cell total, react, vel_step, dens_step
1188.625295, 6.015760, 949.565053, 233.044481: ns per cell total, react, vel_step, dens_step
1185.829454, 6.217988, 947.443251, 232.168216: ns per cell total, react, vel_step, dens_step
1194.794598, 6.079371, 956.255111, 232.460116: ns per cell total, react, vel_step, dens_step
1184.566655, 6.014683, 946.173357, 232.378615: ns per cell total, react, vel_step, dens_step
1181.841272, 6.108077, 943.370373, 232.362823: ns per cell total, react, vel_step, dens_step
1180.820268, 6.005023, 942.859890, 231.955355: ns per cell total, react, vel_step, dens_step
1190.182484, 6.063674, 950.116993, 234.001817: ns per cell total, react, vel_step, dens_step
1186.213156, 6.060823, 946.011518, 234.140815: ns per cell total, react, vel_step, dens_step
1180.856775, 6.136315, 942.156822, 232.563638: ns per cell total, react, vel_step, dens_step
1183.159183, 6.010192, 944.715760, 232.433231: ns per cell total, react, vel_step, dens_step
1188.320396, 5.977719, 947.534117, 234.808559: ns per cell total, react, vel_step, dens_step
1187.773711, 5.971168, 946.715254, 235.087290: ns per cell total, react, vel_step, dens_step
1187.905042, 5.975421, 948.227696, 233.701924: ns per cell total, react, vel_step, dens_step
1178.432457, 6.001266, 938.666668, 233.764524: ns per cell total, react, vel_step, dens_step
1181.384605, 6.001990, 943.347694, 232.034921: ns per cell total, react, vel_step, dens_step
1177.796728, 5.928042, 940.094806, 231.773880: ns per cell total, react, vel_step, dens_step
1176.297304, 5.952685, 936.993169, 233.351450: ns per cell total, react, vel_step, dens_step
1174.863434, 5.907014, 936.439894, 232.516526: ns per cell total, react, vel_step, dens_step
1179.490035, 5.892795, 941.208402, 232.388839: ns per cell total, react, vel_step, dens_step
1175.760633, 5.945571, 936.447095, 233.367967: ns per cell total, react, vel_step, dens_step
1173.496982, 5.882724, 934.894789, 232.719469: ns per cell total, react, vel_step, dens_step
1173.389168, 5.854198, 935.570382, 231.964587: ns per cell total, react, vel_step, dens_step
1178.608534, 5.853064, 939.423114, 233.332356: ns per cell total, react, vel_step, dens_step
1175.394822, 5.862325, 937.113961, 232.418536: ns per cell total, react, vel_step, dens_step
1173.103342, 5.820554, 934.029577, 233.253211: ns per cell total, react, vel_step, dens_step
1173.272190, 5.925372, 934.611080, 232.735738: ns per cell total, react, vel_step, dens_step
1176.150552, 5.800221, 934.306028, 236.044302: ns per cell total, react, vel_step, dens_step
